earnings_30mo,enrolled,offer,age2225,age2629,age3035,age3644,age4554,married,hsorged,prior_employment_status,black,hispanic,male,afdc,class_tr,ojt_jsa
1353,1,1,0,0,0,0,1,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,0,0,0,0
4984,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
27707,0,1,0,0,1,0,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,1,0,0,1,0
31860,0,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
26615,0,0,1,0,0,0,0,Unknown,No diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
48541,1,1,1,0,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,0,1
3240,0,1,0,0,0,1,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
8385,1,1,0,0,0,1,0,Married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,1,0
4036,1,1,1,0,0,0,0,Married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
16419,0,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
22221,0,1,0,1,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
1933,0,1,0,0,1,0,0,Married,No diploma/GED,Worked less than 13 weeks in prior year,0,1,0,0,0,1
19541,0,0,0,0,0,0,1,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,1,0,0,1
25766,1,1,0,0,0,1,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
9879,1,1,1,0,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,1,0,1,0
25199,0,0,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,1,0
5486,0,1,1,0,0,0,0,Not married,No diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
24765,0,0,1,0,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
29780,0,1,0,0,1,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,1
18888,0,0,0,1,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,1,0,0,0
16773,0,1,0,0,0,1,0,Not married,Unknown,Unknown,0,0,1,0,0,0
33390,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
12537,0,0,0,1,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,0,0,1
48254,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
23686,0,0,0,0,1,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,1,0,0,1,0,1
0,1,1,0,0,0,1,0,Married,No diploma/GED,Unknown,0,0,0,0,1,0
21035,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked less than 13 weeks in prior year,1,0,1,0,1,0
1184,0,0,0,0,1,0,0,Not married,No diploma/GED,Unknown,1,0,1,0,0,0
10112,0,0,0,0,1,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,0
33570,0,0,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
12301,0,0,1,0,0,0,0,Not married,No diploma/GED,Unknown,0,0,1,0,0,1
27676,0,0,0,1,0,0,0,Married,Diploma/GED,Worked 13 weeks or more in prior year,0,0,0,0,0,1
57676,0,0,0,1,0,0,0,Married,Diploma/GED,Unknown,0,0,1,0,0,1
38018,1,1,0,1,0,0,0,Not married,Diploma/GED,Worked 13 weeks or more in prior year,1,0,0,0,0,1
3366,1,1,0,1,0,0,0,Not married,No diploma/GED,Worked less than 13 weeks in prior year,0,0,0,1,0,0
